Designator,Mid X,Mid Y,Layer,Rotation
C1,26.4,18.86,Top,270
C2,36.2,22.05,Top,270
C3,20.5,7.5,Top,270
C4,22.65,8.45,Top,0
C5,23.66,19.34,Top,0
C6,39.9,16.03,Top,270
C7,14.62,18.87,Top,270
C8,17.5,19.75,Top,0
C9,37.25,8.52,Top,90
C10,29.25,22.05,Top,0
C11,25.71,21.39,Top,180
C12,39.15,19.05,Top,180
C13,30.84,25.34,Top,0
C14,17.84,21.64,Top,0
C15,19.87,20.45,Top,90
C16,11.45,10.7,Top,270
C17,12.75,10.7,Top,270
C18,24.75,15.85,Top,270
C19,25.55,24.78,Top,180
C20,13.83,21.4,Top,180
C21,21.25,2.75,Top,270
C22,25.57,25.82,Top,180
C23,35.06,25.75,Top,180
C24,45.5,8.4,Top,90
C25,45.5,5.3,Top,270
C26,12.28,19.67,Top,180
C27,11.87,18.46,Top,180
D1,36.99,12.74,Top,90
FB1,9.04,21.62,Top,0
IC1,10.95,4.9,Top,90
J1,30,10.7,Top,90
J2,41.5,5.5,Top,90
J3,47.7,18,Top,90
J4,3.9,5,Top,0
J7,3.9,16,Top,270
Q1,32.55,19,Top,270
R1,35.8,17.35,Top,180
R2,29.26,19.97,Top,180
R3,35.79,19.45,Top,0
R4,32.3,22.05,Top,180
R5,39.06,21.19,Top,180
R6,43.4,19.95,Top,90
R7,11.5,15.95,Top,90
R8,9.35,15,Top,90
R9,8.82,19.77,Top,180
R10,9.27,10.95,Top,180
R11,8.8,17.7,Top,180
R12,22.65,6.45,Top,180
R13,12.5,13.25,Top,180
U1,19,14,Top,0
U2,17.15,4.25,Top,180
SW1,19.05,24.44,Top,0
SW2,10.07,24.44,Top,0
